Customer ID,Customer_name,Gender,Age,Married,Education,Self_Employed,Loan_Id,Region_id
IP43001,Claire Gute,Male,50,No,Graduate,No,LP001002,13.2
IP43002,Darrin Van Huff,Male,66,Yes,Graduate,No,LP001003,13.2
IP43003,Sean O'Donnell,Male,20,Yes,Graduate,Yes,LP001005,13.2
IP43004,Brosina Hoffman,Male,46,Yes,Not Graduate,No,LP001006,13.2
IP43005,Andrew Allen,Male,18,No,Graduate,No,LP001008,13.2
IP43006,Irene Maddox,Male,66,Yes,Graduate,Yes,LP001011,13.2
IP43007,Harold Pawlan,Male,67,Yes,Not Graduate,No,LP001013,13.3
IP43008,Pete Kriz,Male,41,Yes,Graduate,No,LP001014,13.3
IP43009,Alejandro Grove,Male,34,Yes,Graduate,No,LP001018,13.2
IP43010,Zuschuss Donatelli,Male,21,Yes,Graduate,No,LP001020,13.2
IP43011,Ken Black,Male,48,Yes,Graduate,No,LP001024,13.3
IP43012,Sandra Flanagan,Male,19,Yes,Graduate,Null,LP001027,13.4
IP43013,Emily Burns,Male,28,Yes,Graduate,No,LP001028,13.2
IP43014,Eric Hoffmann,Male,46,No,Graduate,No,LP001029,13.2
IP43015,Tracy Blumstein,Male,31,Yes,Graduate,No,LP001030,13.4
IP43016,Matt Abelman,Male,51,No,Graduate,No,LP001032,13.3
IP43017,Gene Hale,Male,20,No,Not Graduate,No,LP001034,13.3
IP43018,Steve Nguyen,Female,27,No,Graduate,No,LP001036,13.3
IP43019,Linda Cazamias,Male,64,Yes,Not Graduate,No,LP001038,13.3
IP43020,Ruben Ausman,Male,66,Yes,Graduate,Null,LP001041,13.2
IP43021,Erin Smith,Male,40,Yes,Not Graduate,No,LP001043,13.2
IP43022,Odella Nelson,Male,23,Yes,Graduate,No,LP001046,13.3
IP43023,Patrick O'Donnell,Male,34,Yes,Not Graduate,No,LP001047,13.3
IP43024,Lena Hernandez,Male,69,Yes,Not Graduate,No,LP001050,13.4
IP43025,Darren Powers,Male,31,Yes,Graduate,Null,LP001052,13.3
IP43026,Janet Molinari,Male,45,Yes,Graduate,Yes,LP001066,13.4
IP43027,Ted Butterfield,Male,59,Yes,Graduate,No,LP001068,13.4
IP43028,Kunst Miller,Male,35,Yes,Not Graduate,No,LP001073,13.2
IP43029,Paul Stevenson,Male,25,No,Not Graduate,No,LP001086,13.3
IP43030,Brendan Sweed,Female,29,No,Graduate,Null,LP001087,13.2
IP43031,Karen Daniels,Male,18,Yes,Graduate,Null,LP001091,13.2
IP43032,Henry MacAllister,Male,42,No,Graduate,No,LP001095,13.4
IP43033,Joel Eaton,Male,56,No,Graduate,Yes,LP001097,13.2
IP43034,Ken Brennan,Male,33,Yes,Graduate,No,LP001098,13.3
IP43035,Stewart Carmichael,Male,64,No,Graduate,No,LP001100,13.2
IP43036,Duane Noonan,Male,64,Yes,Graduate,No,LP001106,13.2
IP43037,Julie Creighton,Male,33,Yes,Graduate,No,LP001109,13.2
IP43038,Christopher Schild,Female,70,Yes,Graduate,No,LP001112,13.3
IP43039,Paul Gonzalez,Male,63,No,Graduate,No,LP001114,13.3
IP43040,Gary Mitchum,Male,35,No,Not Graduate,No,LP001116,13.3
IP43041,Jim Sink,Male,33,No,Graduate,No,LP001119,13.2
IP43042,Karl Braun,Male,56,No,Graduate,No,LP001120,13.3
IP43043,Roger Barcio,Male,18,Yes,Graduate,No,LP001123,13.2
IP43044,Parhena Norris,Male,64,Yes,Graduate,No,LP001131,13.4
IP43045,Katherine Ducich,Male,63,Yes,Not Graduate,Yes,LP001136,13.2
IP43046,Elpida Rittenbach,Female,62,No,Graduate,No,LP001137,13.3
IP43047,Rick Bensley,Male,31,Yes,Graduate,No,LP001138,13.3
IP43048,Gary Zandusky,Male,55,Yes,Graduate,No,LP001144,13.3
IP43049,Lena Cacioppo,Female,36,Yes,Graduate,No,LP001146,13.2
IP43050,Janet Martin,Female,34,No,Graduate,No,LP001151,13.2
IP43051,Pete Armstrong,Female,24,Yes,Not Graduate,No,LP001155,13.3
IP43052,Cynthia Voltz,Female,51,No,Graduate,No,LP001157,13.4
IP43053,Clay Ludtke,Female,28,No,Graduate,No,LP001164,13.3
IP43054,Ryan Crowe,Male,52,Yes,Graduate,No,LP001179,13.4
IP43055,Dave Kipp,Female,30,Yes,Graduate,Yes,LP001186,13.2
IP43056,Greg Guthrie,Male,33,Yes,Graduate,No,LP001194,13.2
IP43057,Steven Cartwright,Male,66,Yes,Graduate,No,LP001195,13.4
IP43058,Alan Dominguez,Male,62,Yes,Graduate,No,LP001197,13.3
IP43059,Philip Fox,Male,31,Yes,Graduate,No,LP001198,13.3
IP43060,Troy Staebel,Male,57,Yes,Not Graduate,No,LP001199,13.2
IP43061,Lindsay Shagiari,Male,60,Yes,Graduate,No,LP001205,13.2
IP43062,Dorothy Wardle,Male,52,Yes,Graduate,No,LP001206,13.4
IP43063,Lena Creighton,Male,48,Yes,Not Graduate,Yes,LP001207,13.2
IP43064,Jonathan Doherty,Male,26,Yes,Graduate,No,LP001213,13.4
IP43065,Sally Hughsby,Female,49,No,Graduate,No,LP001222,13.2
IP43066,Sandra Glassco,Male,61,Yes,Graduate,No,LP001225,13.3
IP43067,Helen Andreada,Male,18,No,Not Graduate,No,LP001228,13.2
IP43068,Maureen Gastineau,Male,61,Yes,Graduate,No,LP001233,13.4
IP43069,Justin Ellison,Male,50,Yes,Not Graduate,Yes,LP001238,13.3
IP43070,Tamara Willingham,Female,64,No,Graduate,No,LP001241,13.2
IP43071,Stephanie Phelps,Male,67,Yes,Graduate,No,LP001243,13.2
IP43072,Neil Knudson,Male,46,Yes,Not Graduate,Yes,LP001245,13.2
IP43073,Dave Brooks,Male,26,No,Graduate,No,LP001248,13.2
IP43074,Nora Paige,Male,40,Yes,Not Graduate,No,LP001250,13.3
IP43075,Ted Trevino,Male,67,Yes,Graduate,Yes,LP001253,13.2
IP43076,Eric Murdock,Male,51,No,Graduate,No,LP001255,13.4
IP43077,Ruben Dartt,Male,39,No,Graduate,No,LP001256,13.2
IP43078,Max Jones,Male,69,Yes,Graduate,Yes,LP001259,13.2
IP43079,Becky Martin,Male,31,Yes,Graduate,No,LP001263,13.3
IP43080,Chad Sievert,Male,20,Yes,Not Graduate,Yes,LP001264,13.2
IP43081,Jennifer Braxton,Female,57,No,Graduate,No,LP001265,13.3
IP43082,Shirley Jackson,Male,44,Yes,Graduate,Yes,LP001266,13.3
IP43083,Jim Kriz,Female,45,Yes,Graduate,No,LP001267,13.4
IP43084,David Kendrick,Male,45,Yes,Graduate,No,LP001273,13.3
IP43085,Robert Marley,Male,61,Yes,Graduate,No,LP001275,13.2
IP43086,Sally Knutson,Male,52,No,Graduate,No,LP001279,13.4
IP43087,Frank Merwin,Male,43,Yes,Not Graduate,No,LP001280,13.2
IP43088,Alice McCarthy,Male,69,Yes,Graduate,No,LP001282,13.3
IP43089,Mark Packer,Male,49,No,Graduate,No,LP001289,13.4
IP43090,Mary Zewe,Male,43,Yes,Graduate,No,LP001310,13.2
IP43091,Cassandra Brandow,Male,59,Yes,Graduate,No,LP001316,13.4
IP43092,Valerie Mitchum,Male,22,Yes,Graduate,No,LP001318,13.4
IP43093,Fred Hopkins,Male,27,Yes,Not Graduate,No,LP001319,13.4
IP43094,Maria Bertelson,Male,62,No,Graduate,No,LP001322,13.4
IP43095,Bruce Stewart,Male,51,No,Not Graduate,No,LP001325,13.2
IP43096,Logan Currie,Male,67,No,Graduate,Null,LP001326,13.3
IP43097,Heather Kirkland,Female,62,Yes,Graduate,No,LP001327,13.2
IP43098,Laurel Elliston,Male,40,Yes,Graduate,No,LP001333,13.2
IP43099,Joseph Holt,Male,25,Yes,Not Graduate,No,LP001334,13.3
IP43100,Michael Stewart,Male,41,Yes,Graduate,No,LP001343,13.3
IP43101,Victoria Wilson,Male,69,Yes,Not Graduate,No,LP001345,13.4
IP43102,Jonathan Howell,Male,61,No,Graduate,No,LP001349,13.2
IP43103,Joni Blumstein,Male,60,Yes,Graduate,No,LP001350,13.4
IP43104,David Smith,Male,43,Yes,Graduate,No,LP001356,13.3
IP43105,Valerie Dominguez,Male,25,,Graduate,No,LP001357,13.2
IP43106,Erin Ashbrook,Male,43,Yes,Graduate,No,LP001367,13.2
IP43107,David Bremer,Male,39,Yes,Graduate,No,LP001369,13.2
IP43108,Ken Lonsdale,Male,48,No,Not Graduate,Null,LP001370,13.3
IP43109,Dianna Wilson,Male,68,Yes,Graduate,No,LP001379,13.3
IP43110,Logan Haushalter,Male,22,Yes,Not Graduate,No,LP001384,13.2
IP43111,Kelly Collister,Male,68,No,Graduate,No,LP001385,13.2
IP43112,Delfina Latchford,Female,41,Yes,Graduate,Null,LP001387,13.4
IP43113,Dan Reichenbach,Male,54,Yes,Not Graduate,No,LP001391,13.3
IP43114,Craig Carreira,Female,58,No,Graduate,Yes,LP001392,13.4
IP43115,Dorris liebe,Male,63,No,Graduate,Null,LP001398,13.3
IP43116,Sean Braxton,Male,68,Yes,Graduate,No,LP001401,13.3
IP43117,Roy Collins,Female,36,Yes,Graduate,No,LP001404,13.3
IP43118,Alan Hwang,Male,41,Yes,Graduate,No,LP001405,13.2
IP43119,Claudia Bergmann,Male,24,Yes,Graduate,No,LP001421,13.2
IP43120,Christine Abelman,Female,39,No,Graduate,No,LP001422,13.4
IP43121,Kristen Hastings,Male,67,Yes,Graduate,No,LP001426,13.2
