Customer_id,Load Id,Customer_name,Region_id,Postal_Code,Segment,State
IP43001,LP001002,Claire Gute,13.2,42420,Consumer,Kentucky
IP43002,LP001003,Darrin Van Huff,13.2,90036,Corporate,California
IP43003,LP001005,Sean O'Donnell,13.2,33311,Consumer,Florida
IP43004,LP001006,Brosina Hoffman,13.2,90032,Consumer,California
IP43005,LP001008,Andrew Allen,13.2,28027,Consumer,North Carolina
IP43006,LP001011,Irene Maddox,13.2,98103,Consumer,Washington
IP43007,LP001013,Harold Pawlan,13.3,76106,Home Office,Texas
IP43008,LP001014,Pete Kriz,13.3,53711,Consumer,Wisconsin
IP43009,LP001018,Alejandro Grove,13.2,84084,Consumer,Utah
IP43010,LP001020,Zuschuss Donatelli,13.2,94109,Consumer,California
IP43011,LP001024,Ken Black,13.3,68025,Corporate,Nebraska
IP43012,LP001027,Sandra Flanagan,13.4,19140,Consumer,Pennsylvania
IP43013,LP001028,Emily Burns,13.2,84057,Consumer,Utah
IP43014,LP001029,Eric Hoffmann,13.2,90049,Consumer,California
IP43015,LP001030,Tracy Blumstein,13.4,19140,Consumer,Pennsylvania
IP43016,LP001032,Matt Abelman,13.3,77095,Home Office,Texas
IP43017,LP001034,Gene Hale,13.3,75080,Corporate,Texas
IP43018,LP001036,Steve Nguyen,13.3,77041,Home Office,Texas
IP43019,LP001038,Linda Cazamias,13.3,60540,Corporate,Illinois
IP43020,LP001041,Ruben Ausman,13.2,90049,Corporate,California
IP43021,LP001043,Erin Smith,13.2,32935,Corporate,Florida
IP43022,LP001046,Odella Nelson,13.3,55122,Corporate,Minnesota
IP43023,LP001047,Patrick O'Donnell,13.3,48185,Consumer,Michigan
IP43024,LP001050,Lena Hernandez,13.4,19901,Consumer,Delaware
IP43025,LP001052,Darren Powers,13.3,47150,Consumer,Indiana
IP43026,LP001066,Janet Molinari,13.4,10024,Corporate,New York
IP43027,LP001068,Ted Butterfield,13.4,12180,Consumer,New York
IP43028,LP001073,Kunst Miller,13.2,90004,Consumer,California
IP43029,LP001086,Paul Stevenson,13.3,60610,Home Office,Illinois
IP43030,LP001087,Brendan Sweed,13.2,85234,Corporate,Arizona
IP43031,LP001091,Karen Daniels,13.2,22153,Consumer,Virginia
IP43032,LP001095,Henry MacAllister,13.4,10009,Consumer,New York
IP43033,LP001097,Joel Eaton,13.2,38109,Consumer,Tennessee
IP43034,LP001098,Ken Brennan,13.3,77041,Corporate,Texas
IP43035,LP001100,Stewart Carmichael,13.2,35601,Corporate,Alabama
IP43036,LP001106,Duane Noonan,13.2,94122,Consumer,California
IP43037,LP001109,Julie Creighton,13.2,27707,Corporate,North Carolina
IP43038,LP001112,Christopher Schild,13.3,60623,Home Office,Illinois
IP43039,LP001114,Paul Gonzalez,13.3,55901,Consumer,Minnesota
IP43040,LP001116,Gary Mitchum,13.3,77095,Home Office,Texas
IP43041,LP001119,Jim Sink,13.2,90036,Corporate,California
IP43042,LP001120,Karl Braun,13.3,55407,Consumer,Minnesota
